"Latest: Time (s)";"Latest: Potential (V)";"Latest: Current (A)"
0,0001;1,51786804199;0,0472259521484
0,0002;1,66664123535;0,0469207763672
0,0003;1,80320739746;0,0457000732422
0,0004;1,91860198975;0,0457000732422
0,0005;2,02789306641;0,0441932678223
0,0006;2,12497711182;0,0429725646973
0,0007;2,21290588379;0,0411605834961
0,0008;2,2798538208;0,0384330749512
0,0009;2,34050750732;0,0366020202637
0,001;2,38609313965;0,0332641601563
0,0011;2,41031646729;0,0311470031738
0,0012;2,42538452148;0,0275039672852
0,0013;2,40421295166;0,0250816345215
0,0014;2,37083435059;0,022029876709
0,0015;2,31323242188;0,0184059143066
0,0016;2,24933624268;0,014762878418
0,0017;2,18257904053;0,0105094909668
0,0018;2,08549499512;0,00717163085938
0,0019;1,98230743408;0,0029182434082
0,002;1,8669128418;-0,000724792480469
0,0021;1,74560546875;-0,00406265258789
0,0022;1,5998840332;-0,00831604003906
0,0023;1,42993927002;-0,0122451782227
0,0024;1,29318237305;-0,0158882141113
0,0025;1,12323760986;-0,0189208984375
0,0026;0,93822479248;-0,0228691101074
0,0027;0,743865966797;-0,0259017944336
0,0028;0,558662414551;-0,0286483764648
0,0029;0,36449432373;-0,0319862365723
0,003;0,173187255859;-0,0344085693359
0,0031;-0,00896453857422;-0,0377464294434
0,0032;-0,19702911377;-0,0395584106445
0,0033;-0,382232666016;-0,0419998168945
0,0034;-0,582504272461;-0,0432014465332
0,0035;-0,767707824707;-0,0444221496582
0,0036;-0,965118408203;-0,0459289550781
0,0037;-1,15013122559;-0,0465393066406
0,0038;-1,31416320801;-0,0474548339844
0,0039;-1,46579742432;-0,0471496582031
0,004;-1,6206741333;-0,0468444824219
0,0041;-1,76944732666;-0,0465393066406
0,0042;-1,89075469971;-0,0456237792969
0,0043;-2,01530456543;-0,0444221496582
0,0044;-2,10933685303;-0,0432014465332
0,0045;-2,20355987549;-0,0419998168945
0,0046;-2,27336883545;-0,0395584106445
0,0047;-2,33402252197;-0,0377464294434
0,0048;-2,39162445068;-0,0350189208984
0,0049;-2,42805480957;-0,0319862365723
0,005;-2,45532989502;-0,029239654541
0,0051;-2,44636535645;-0,0262069702148
0,0052;-2,40688323975;-0,0234794616699
0,0053;-2,36740112305;-0,0198364257813
0,0054;-2,30674743652;-0,0168037414551
0,0055;-2,24285125732;-0,0128555297852
0,0056;-2,15187072754;-0,00890731811523
0,0057;-2,05173492432;-0,00526428222656
0,0058;-1,93939208984;-0,00133514404297
0,0059;-1,82094573975;0,0023078918457
0,006;-1,68437957764;0,00656127929688
0,0061;-1,5266418457;0,00959396362305
0,0062;-1,37481689453;0,0138473510742
0,0063;-1,21688842773;0,0174903869629
0,0064;-1,03797912598;0,0211334228516
0,0065;-0,85277557373;0,0241661071777
0,0066;-0,652313232422;0,0271987915039
0,0067;-0,470352172852;0,0305366516113
0,0068;-0,269889831543;0,0326538085938
0,0069;-0,0877380371094;0,0356864929199
0,007;0,106430053711;0,0384330749512
0,0071;0,288581848145;0,0402450561523
0,0072;0,482749938965;0,0423622131348
0,0073;0,667953491211;0,0435829162598
0,0074;0,859260559082;0,045108795166
0,0075;1,04732513428;0,0457000732422
0,0076;1,22337341309;0,0469207763672
0,0077;1,38130187988;0,0472259521484
0,0078;1,52702331543;0,0475311279297
0,0079;1,68170928955;0,0469207763672
0,008;1,8123626709;0,0457000732422
0,0081;1,92470550537;0,0454139709473
0,0082;2,03380584717;0,0435829162598
0,0083;2,13108062744;0,042667388916
0,0084;2,21900939941;0,0405502319336
0,0085;2,28271484375;0,0384330749512
0,0086;2,34050750732;0,0359916687012
0,0087;2,38609313965;0,0332641601563
0,0088;2,4133682251;0,0308418273926
0,0089;2,41947174072;0,0271987915039
0,009;2,39505767822;0,0250816345215
0,0091;2,36778259277;0,0214385986328
0,0092;2,30712890625;0,0177955627441
0,0093;2,24342346191;0,0141525268555
0,0094;2,17056274414;0,0102043151855
0,0095;2,07023620605;0,00686645507813
0,0096;1,96704864502;0,0023078918457
0,0097;1,8518447876;-0,000724792480469
0,0098;1,73034667969;-0,00467300415039
0,0099;1,58157348633;-0,00831604003906
0,01;1,42383575439;-0,0122451782227
0,0101;1,27506256104;-0,0161933898926
0,0102;1,10511779785;-0,01953125
0,0103;0,919914245605;-0,0231742858887
0,0104;0,725746154785;-0,0262069702148
0,0105;0,540542602539;-0,029239654541
0,0106;0,343132019043;-0,0319862365723
0,0107;0,155067443848;-0,0347137451172
0,0108;-0,0331878662109;-0,0380516052246
0,0109;-0,218391418457;-0,0398635864258
0,011;-0,409507751465;-0,0422859191895
0,0111;-0,600814819336;-0,0432014465332
0,0112;-0,801086425781;-0,0447273254395
0,0113;-0,983238220215;-0,0456237792969
0,0114;-1,16844177246;-0,0465393066406
0,0115;-1,32923126221;-0,0477600097656
0,0116;-1,48105621338;-0,0468444824219
0,0117;-1,63898468018;-0,0474548339844
0,0118;-1,78451538086;-0,0465393066406
0,0119;-1,90601348877;-0,0456237792969
0,012;-2,01835632324;-0,0444221496582
0,0121;-2,1276473999;-0,0432014465332
0,0122;-2,21252441406;-0,0419998168945
0,0123;-2,28538513184;-0,0395584106445
0,0124;-2,34622955322;-0,0377464294434
0,0125;-2,39772796631;-0,0344085693359
0,0126;-2,4341583252;-0,0319862365723
0,0127;-2,45838165283;-0,0289344787598
0,0128;-2,44636535645;-0,0259017944336
0,0129;-2,40688323975;-0,0231742858887
